"CURR_ID","CURR_NAME","CURR_NAME_EN","UNIV_NAME_TH","LEV_NAME_TH","TOTAL_PLAN"
"25440081100569","หลักสูตรดุริยางคศาสตรบัณฑิต สาขาวิชาดนตรีแจ๊ส","Bachelor of Music Program in Jazz Studies","มหาวิทยาลัยศิลปากร","ปริญญาตรี","40"
"25481691101485","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการอุตสาหกรรม","Bachelor of Science Program in Industrial Management","มหาวิทยาลัยราชภัฏอุดรธานี","ปริญญาตรี","40"
"25481691103779","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสัตวศาสตร์","Bachelor of Science Program in Animal Science","มหาวิทยาลัยราชภัฏอุดรธานี","ปริญญาตรี","30"
"25530141104965","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบบสารสนเทศทางธุรกิจดิจิทัล","Master of Science Program in Digital Business Information System","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","40"
"25530141104976","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมซอฟต์แวร์เพื่อวิทยาการข้อมูล","Master of Science Program in Software Engineering for  Data Science","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","5"
"25550091103937","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การกีฬาและการออกกำลังกาย","Bachelor of Science Program in Sports and Exercise Science","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","80"
"25550091103937","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การกีฬาและการออกกำลังกาย","Bachelor of Science Program in Sports and Exercise Science","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","80"
"25530091102372","หลักสูตรการศึกษาบัณฑิต สาขาวิชาสุขศึกษาและพลศึกษา (4 ปี)","ฺBachelor Education Program in Health Education and Physical Education","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","60"
"25550091103937","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การกีฬาและการออกกำลังกาย","Bachelor of Science Program in Sports and Exercise Science","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","80"
"25520091108175","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาการจัดการกีฬาและนันทนาการ","Master of Arts Program in Sport and Leisure Management","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาโท",""
"25520091107861","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาการจัดการกีฬาและนันทนาการ","Doctor of Philosophy Program in Sport and Leisure Management","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาเอก","5"
"25530091104352","หลักสูตรการศึกษามหาบัณฑิต สาขาวิชาสุขศึกษาและพลศึกษา","Master of Education Program in Health Education and Physical Education","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาโท",""
"25520091104338","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาผู้นำนันทนาการ","Bachelor of Arts Program in Recreation Leadership","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","80"
"25520091104283","หลักสูตรการศึกษาบัณฑิต สาขาวิชาพลศึกษา (5 ปี)","Bachelor of Education Program in Physical Education","มหาวิทยาลัยศรีนครินทรวิโรฒ","ปริญญาตรี","90"
