"CURR_ID","CURR_NAME","CURR_NAME_EN","UNIV_NAME_TH","LEV_NAME_TH","TOTAL_PLAN"
"25500101111379","หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน","Master of Nursing Science Program in Community Nurse Practitioner","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","10"
"25501651100638","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยสวนดุสิต","ปริญญาตรี","100"
"25600106000722","หลักสูตรพยาบาลศาสตรมหาบัณฑิต  สาขาวิชาการผดุงครรภ์","Master of Nursing Science Program in Midwifery","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","5"
"25600106000711","หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลจิตเวชและสุขภาพจิต","Master of Nursing Science Program in Psychiatric and Mental Health Nursing","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","5"
"25510101109953","หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล","Master of Nursing Science Program in Nursing Administration","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","8"
"25540731101215","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ","ปริญญาตรี","160"
"25450101102486","หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลผู้ใหญ่และผู้สูงอายุ (หลักสูตรนานาชาติ)","Master of Nursing Science Program in Adult and Gerontological Nursing (International Program)","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","5"
"25490031100277","หลักสูตรพยาบาลศาสตรมหาบัณฑิต  (หลักสูตรนานาชาติ)","Master of Nursing Science Program (International Program)","มหาวิทยาลัยขอนแก่น","ปริญญาโท","5"
"25420201101066","หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล","Master of Nursing Science Program in Nursing Administration","มหาวิทยาลัยนเรศวร","ปริญญาโท","20"
"25520201109224","พยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน","Master of Nursing Science Program in Community Nurse Practitioner","มหาวิทยาลัยนเรศวร","ปริญญาโท","25"
"25460031100173","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยขอนแก่น","ปริญญาตรี","210"
"25610221100028","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยทักษิณ","ปริญญาตรี","60"
"25501141102296","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","วิทยาลัยนานาชาติเซนต์เทเรซา","ปริญญาตรี","120"
